iso1	iso2	iso1.mean.ratio	iso2.mean.ratio	before.interval	after.interval	x.value	y.value	before.prob	after.prob	before.diff	after.diff	before.pval	after.pval	before.t.points	after.t.points	prob	diff	cor	gene
ENST00000563301.5	ENST00000565790.5	0.117218298034343	0.110151183124956	[1,3.3455]	(3.3455,4]	3.34549927672646	0.931765916768687	0.888888888888889	1.0	0.748406905186007	-2.02340834763255	0.0026024265451514	0.0340995124520908	3	1	0.888888888888889	2.77181525281856	-0.730941012516354	n
ENST00000396307.6	ENST00000567380.5	0.067293320499628	0.0936353007182253	[1,3.3286]	(3.3286,4]	3.32862165119574	1.50155560420676	0.888888888888889	1.0	-1.87664496288399	3.48291893791044	0.00299499009136	0.0007565414142596	3	1	0.888888888888889	5.35956390079443	-0.657753845874866	5873
ENST00000396307.6	ENST00000336787.6	0.067293320499628	0.107828406704954	[1,3.4626]	(3.4626,4]	3.46256706628888	2.06230817047654	0.888888888888889	1.0	-2.42117760138545	3.95970082473382	0.0016123033486397	0.0011468634096158	3	1	0.888888888888889	6.38087842611926	-0.921362382243328	5873
ENST00000445816.5	ENST00000403425.5	0.0064545458224591	0.0082849910458164	[1,3.3499]	(3.3499,4]	3.34993039655524	5.93398969586691	0.888888888888889	1.0	-3.30411925303313	4.16270070341594	0.0013808741310338	0.0207848260407627	3	1	0.888888888888889	7.46681995644907	-0.526527693097486	10169
ENST00000356107.11	ENST00000400007.8	0.169064345290539	0.203315251634352	[1,3.4924]	(3.4924,4]	3.49244157384147	3.97424450155863	0.888888888888889	1.0	-1.5174033529459	1.6521153397464	0.0263404473973384	0.0054748302740692	3	1	0.888888888888889	3.1695186926923	-0.240519905662108	7082
ENST00000557575.5	ENST00000554280.5	0.115108332042817	0.0475912886893812	[1,3.6053]	(3.6053,4]	3.60533802896495	1.85733319894221	0.888888888888889	1.0	3.39582126095326	-2.04830691375901	0.0019771498923099	0.0084350714749745	3	1	0.888888888888889	5.44412817471227	-0.674169937964778	3831
ENST00000398576.6	ENST00000323076.7	0.179898220080008	0.271644300337519	[1,1.3792]	(1.3792,4]	1.37923338205558	2.99339658925403	1.0	0.888888888888889	1.02249902752625	-1.80616063999924	0.0288220466379341	0.0110281977359583	1	3	0.888888888888889	2.82865966752549	-0.764834926158451	3936
ENST00000635415.1	ENST00000405737.2	0.207683604586243	0.228618110415207	[1,3.3061]	(3.3061,4]	3.30607396321036	6.5073143525418	0.888888888888889	1.0	-1.83235721700926	2.97803149317351	0.0229297836577933	0.0030605431463218	3	1	0.888888888888889	4.81038871018276	-0.348667656037184	1997
ENST00000257555.11	ENST00000541395.5	0.330185888338648	0.158481337458939	[1,3.4627]	(3.4627,4]	3.46274541157169	4.26670065033112	0.888888888888889	1.0	5.72246374648059	-3.77797253026513	0.0015355284844549	0.0166659740408774	3	1	0.888888888888889	9.50043627674573	-0.826977181131373	6927
ENST00000545774.5	ENST00000636996.1	0.0326628272410736	0.0584219331868189	[1,3.5349]	(3.5349,4]	3.53494981018837	2.66585931887731	0.888888888888889	1.0	-2.96697615135393	2.59303337014746	0.0055081629064908	0.0221524082816973	3	1	0.888888888888889	5.56000952150139	-0.408499019546723	4598
ENST00000548125.5	ENST00000550344.5	0.0443157917365546	0.0372194753384098	[1,3.3681]	(3.3681,4]	3.36809134751236	1.7053642943292	0.888888888888889	1.0	1.03821540852706	-1.99680833781381	0.0017110328356417	0.0261020366074373	3	1	0.888888888888889	3.03502374634088	-0.791792307687541	90488
ENST00000393042.3	ENST00000299157.5	0.380237550116996	0.397647042485618	[1,3.2798]	(3.2798,4]	3.27979642655283	6.30852095342471	0.888888888888889	1.0	-1.17133247065796	2.38603863592979	0.0067476784465107	0.0257432604600356	3	1	0.888888888888889	3.55737110658774	-0.25494457066289	121457
ENST00000550201.5	ENST00000550750.2	0.0159082348754748	0.080637838080134	[1,3.9073]	(3.9073,4]	3.90731150102351	1.51891650616326	0.888888888888889	1.0	-7.55856114841889	0.887820812698134	0.0003172774668557	0.0055629756880998	3	1	0.888888888888889	8.44638196111702	-0.0902099659566838	10540
ENST00000550994.2	ENST00000677291.1	0.0074786586237299	0.0164318391179303	[1,3.4038]	(3.4038,4]	3.40377224787281	65.7272657221838	0.888888888888889	1.0	-106.114116257293	119.303368843092	0.0036777242492982	0.0156078627436133	3	1	0.888888888888889	225.417485100385	-0.47413211332973	3178
ENST00000644495.1	ENST00000546743.5	0.0531686805817383	0.0363190550000442	[1,1.5134]	(1.5134,4]	1.51338675346157	1.2707233729055	1.0	0.888888888888889	-1.05489003546177	1.02958025835949	0.0002767503324514	0.0011583972643145	1	3	0.888888888888889	2.08447029382126	-0.139824436824811	4891
ENST00000398473.7	ENST00000548174.5	0.039096277969725	0.0511344530478381	[1,3.3497]	(3.3497,4]	3.34965707226405	2.50255018653589	0.888888888888889	1.0	-1.44143948956944	1.81507490613645	0.0047039886617522	0.0394477367366694	3	1	0.888888888888889	3.25651439570589	-0.0379208134952853	113251
ENST00000429027.7	ENST00000536974.5	0.0537724322485053	0.0312752535556106	[1,3.4283]	(3.4283,4]	3.42828689346235	1.02879043069203	0.888888888888889	1.0	1.10803476148195	-1.35493639496057	0.0004038652012352	0.0299919083956215	3	1	0.888888888888889	2.46297115644252	-0.838491883402224	54477
ENST00000679614.1	ENST00000280346.11	0.137251096466096	0.152271827227991	[1,3.4048]	(3.4048,4]	3.40480792505254	7.09932516367859	0.888888888888889	1.0	-1.83266271183323	2.7978701479863	0.0081881968785053	0.0442138484718307	3	1	0.888888888888889	4.63053285981953	-0.0663543966216317	1737
ENST00000538393.5	ENST00000539395.1	0.0390264292941068	0.045836956947024	[1,3.3416]	(3.3416,4]	3.34160519548247	1.48388019963332	0.888888888888889	1.0	-1.46128888381111	3.49463107706876	0.000433056720871	0.0423685120172734	3	1	0.888888888888889	4.95591996087987	-0.685357723657011	25906
ENST00000528635.5	ENST00000529907.5	0.100117713113421	0.0905907080606883	[1,3.63]	(3.63,4]	3.63003357111172	10.919365360852	0.888888888888889	1.0	2.41951058968322	-2.40089451419539	0.0344253751314685	0.0346191064559499	3	1	0.888888888888889	4.82040510387862	-0.117202043342225	55291
