iso1	iso2	iso1.mean.ratio	iso2.mean.ratio	before.interval	after.interval	x.value	y.value	before.prob	after.prob	before.diff	after.diff	before.pval	after.pval	before.t.points	after.t.points	prob	diff	cor
ENST00000226230.8	ENST00000583381.5	0.380899323118637	0.360887666219232	(1.2445,3.5664]	(3.5664,4]	3.56636017360668	70.4537547782167	1	1	17.6721385707437	-15.6702153506099	0.00337226864422785	0.0320710059382457	2	1	1	33.3423539213537	-0.533767109175232
ENST00000304414.12	ENST00000562234.2	0.40054595952088	0.352941065620707	[1,2.4527]	(2.4527,3.3648]	2.45269773616059	82.8015281389162	1	1	12.13258658742	-20.143606143204	0.0229826620936581	0.0193036405838548	2	1	1	32.2761927306239	0.105002350906832
ENST00000326266.13	ENST00000253952.9	0.353656273984427	0.361203173091746	(2.3754,3.436]	(3.436,4]	3.43603845006185	5.40710712924569	1	1	3.47573348351211	-4.49542934173667	0.0305558383577738	0.0110094600434289	1	1	1	7.97116282524878	-0.388096447342522
ENST00000559471.6	ENST00000261847.7	0.424151553015656	0.27831602118453	[1,3.5459]	(3.5459,4]	3.54593477067282	4.19193129369134	1	1	2.8282626539667	-1.98582867808198	0.000911072267938916	0.0294620030459898	3	1	1	4.81409133204868	-0.834557091752677
ENST00000560403.5	ENST00000419198.6	0.255989360727381	0.442420537712515	[1,3.6809]	(3.6809,4]	3.68092279083807	2.28697527280957	1	1	-2.41215304713717	1.18493582659537	0.000418756460659965	0.0330881481656293	3	1	1	3.59708887373254	-0.402414122294837
ENST00000375299.8	ENST00000351487.5	0.423219743593945	0.563919040361914	[1,3.708]	(3.708,4]	3.70796488596534	9.77702203430798	1	1	-4.6835419509669	2.66294000984323	0.000324086272460204	0.0353294772073936	3	1	1	7.34648196081013	-0.850247508977853
ENST00000527260.5	ENST00000525420.1	0.212628356518796	0.286558092462182	[1,3.624]	(3.624,4]	3.62395081455402	6.75863547054156	1	1	-4.55695379762071	2.77177763612909	0.000121811339168029	0.0435046656186872	3	1	1	7.3287314337498	0.75127708412007
ENST00000409893.6	ENST00000458169.2	0.372866816796867	0.329229212013067	[1,2.6282]	(2.6282,4]	2.62820837452125	4.51646887123988	1	1	2.35960984463557	-1.26411993012104	3.25545880265356e-05	0.000279616419615566	2	2	1	3.62372977475661	0.465612447841214
ENST00000338369.6	ENST00000533037.5	0.407386649527518	0.275185598377032	[1,3.8074]	(3.8074,4]	3.80735006434041	7.33499029620132	1	1	5.74782513617763	-1.59622577421294	2.25992352924245e-05	0.00288438610818549	3	1	1	7.34405091039057	0.413557979537825
ENST00000530580.5	ENST00000531578.1	0.268936749815698	0.181674357475327	(1.1424,2.3058]	(2.3058,4]	2.30577561632244	7.32704988860666	0	0	-2.68386199958324	6.69212918582578	0.000339179575545964	0.00274090832984971	1	2	1	9.37599118540901	-0.676984369491886
ENST00000424369.5	ENST00000380097.8	0.313543702668062	0.28730583160372	[1,1.3667]	(1.3667,2.5656]	1.36670780487591	4.35201989684922	1	1	-1.11240013818925	1.9210780790679	0.0353560190162742	0.0382756602151982	1	1	1	3.03347821725715	-0.017117893461039
